PLD
FFA.JO
AMT
EQIX
WELL
SPG
PSA
O
DLR
CCI
GMG.AX
VICI
VNA.DE
SBAC
SUI
MAA
SGRO.L
DOC
UDR
ELS
KIM
WPC
GLPI
CPT
0823.HK
CUBE
C38U.SI
SAGA-B.ST
A17U.SI
FRT
EGP
OHI
NNN
SGP.AX
CHP-UN.TO
BRX
STAG
AGNC
RHP
FR
STWD
LAND.L
ADC
VCX.AX
AIRC
HR
MGR.AX
TRNO
CAR-UN.TO
RITM
GPT.AX
M44U.SI
DXS.AX
LMP.L
N2IU.SI
ME8U.SI
KRG
RYN
3462.T
PECO

