BTC-USD
ETH-USD
BNB-USD
USDT-USD
SOL-USD
ADA-USD
XRP-USD
DOT-USD
USDC-USD
DOGE-USD
AVAX-USD
SHIB-USD
CRO-USD
MATIC-USD
LTC-USD
UNI-USD
LINK-USD
ALGO-USD
BCH-USD
TRX-USD
XLM-USD
MANA-USD
AXS-USD
VET-USD
FTM-USD
FIL-USD
SAND-USD
THETA-USD
EGLD-USD
HBAR-USD
XTZ-USD
AAVE-USD
ATOM-USD
KSM-USD
LEO-USD
QNT-USD
ICP-USD
NEAR-USD
WAVES-USD
MKR-USD
ZEC-USD
DASH-USD
XMR-USD
CHZ-USD
MIOTA-USD
LRC-USD
KLAY-USD
ENJ-USD
COMP-USD
RUNE-USD
